id,tpp,interface,chn,min,max,mean,std,kks
0,gujiao,4DCS.40HFC11CT309,A磨出口风温,0.0000,120.0000,0.5963,0.2317,4DCS.40HFC11CT309
1,gujiao,inlet_air_volumeA,A磨入口风量,0.0000,120.0000,0.4546,0.4334,4DCS.40HFE31CF101F 4DCS.40HFE31CF102F
2,gujiao,4DCS.40HFC11AJ001AE,A磨煤机电流,0.0000,40.0000,0.3302,0.3367,4DCS.40HFC11AJ001AE
3,gujiao,4DCS.40HFE31CP101,A磨入口风压力,0.0000,12.0000,0.5454,0.1585,4DCS.40HFE31CP101
4,gujiao,4DCS.40HFE31CT309,A磨入口风温,0.0000,320.0000,0.4537,0.2817,4DCS.40HFE31CT309
5,gujiao,coal_separatorA,A磨分离器出口至后墙上层A燃烧,0.0000,5.0000,0.2562,0.2865,4DCS.40HFC41CP101 4DCS.40HFC41CP102 4DCS.40HFC41CP103 4DCS.40HFC41CP104 4DCS.40HFC41CP105
6,gujiao,4DCS.40HFC12CT309,B磨出口风温,0.0000,120.0000,0.5925,0.2204,4DCS.40HFC12CT309
7,gujiao,inlet_air_volumeB,B磨入口风量,0.0000,120.0000,0.4055,0.4151,4DCS.40HFE32CF101F 4DCS.40HFE32CF102F
8,gujiao,4DCS.40HFC12AJ001AE,B磨煤机电流,0.0000,40.0000,0.3030,0.3485,4DCS.40HFC12AJ001AE
9,gujiao,4DCS.40HFE32CP101,B磨入口风压力,0.0000,12.0000,0.6706,0.2329,4DCS.40HFE32CP101
10,gujiao,inlet_air_tempB,B磨入口风温,0.0000,320.0000,0.4236,0.2990,4DCS.40HFE32CT301 4DCS.40HFE32CT302 4DCS.40HFE32CT303 4DCS.40HFE32CT309
11,gujiao,coal_separatorB,B磨分离器出口至前墙上层B燃烧,0.0000,5.0000,0.1919,0.2309,4DCS.40HFC12CP101 4DCS.40HFC12CP102 4DCS.40HFC12CP103 4DCS.40HFC12CP104 4DCS.40HFC12CP105
12,gujiao,4DCS.40HFC13CT309,C磨出口风温,0.0000,120.0000,0.8090,0.0363,4DCS.40HFC13CT309
13,gujiao,inlet_air_volumeC,C磨入口风量,0.0000,120.0000,0.9370,0.1201,4DCS.40HFE33CF101F 4DCS.40HFE33CF102F
14,gujiao,4DCS.40HFC13AJ001AE,C磨煤机电流,0.0000,40.0000,0.6901,0.0926,4DCS.40HFC13AJ001AE
15,gujiao,4DCS.40HFE33CP101,C磨入口风压力,0.0000,12.0000,0.5262,0.0837,4DCS.40HFE33CP101
16,gujiao,inlet_air_tempC,C磨入口风温,0.0000,320.0000,0.8167,0.0735,4DCS.40HFE33CT301 4DCS.40HFE33CT302 4DCS.40HFE33CT303 4DCS.40HFE33CT309
17,gujiao,coal_separatorC,C磨分离器出口至后墙上层C燃烧,0.0000,5.0000,0.4633,0.1200,4DCS.40HFC13CP101 4DCS.40HFC13CP102 4DCS.40HFC13CP103 4DCS.40HFC13CP104 4DCS.40HFC13CP105
18,gujiao,4DCS.40HFC14CT309,D磨出口风温,0.0000,120.0000,0.8123,0.0337,4DCS.40HFC14CT309
19,gujiao,inlet_air_volumeD,D磨入口风量,0.0000,120.0000,0.9176,0.1005,4DCS.40HFE34CF101F 4DCS.40HFE34CF102F
20,gujiao,4DCS.40HFC14AJ001AE,D磨煤机电流,0.0000,40.0000,0.7331,0.0932,4DCS.40HFC14AJ001AE
21,gujiao,4DCS.40HFE34CP101,D磨入口风压力,0.0000,12.0000,0.4906,0.0925,4DCS.40HFE34CP101
22,gujiao,inlet_air_tempD,D磨入口风温,0.0000,320.0000,0.8028,0.0724,4DCS.40HFE34CT301 4DCS.40HFE34CT302 4DCS.40HFE34CT303 4DCS.40HFE34CT309
23,gujiao,coal_separatorD,D磨分离器出口至前墙上层D燃烧,0.0000,5.0000,0.3676,0.0756,4DCS.40HFC14CP101 4DCS.40HFC14CP102 4DCS.40HFC14CP103 4DCS.40HFC14CP104 4DCS.40HFC14CP105
24,gujiao,4DCS.40HFC15CT309,E磨出口风温,0.0000,120.0000,0.8086,0.0265,4DCS.40HFC15CT309
25,gujiao,inlet_air_volumeE,E磨入口风量,0.0000,120.0000,0.9656,0.0643,4DCS.40HFE35CF101F 4DCS.40HFE35CF102F
26,gujiao,4DCS.40HFC15AJ001AE,E磨煤机电流,0.0000,40.0000,0.7406,0.0722,4DCS.40HFC15AJ001AE
27,gujiao,4DCS.40HFE35CP101,E磨入口风压力,0.0000,12.0000,0.5368,0.0739,4DCS.40HFE35CP101
28,gujiao,inlet_air_tempE,E磨入口风温,0.0000,320.0000,0.8577,0.0560,4DCS.40HFE35CT301 4DCS.40HFE35CT302 4DCS.40HFE35CT303 4DCS.40HFE35CT309
29,gujiao,coal_separatorE,E磨分离器出口至后墙上层E燃烧,0.0000,5.0000,0.4695,0.0582,4DCS.40HFC15CP101 4DCS.40HFC15CP102 4DCS.40HFC15CP103 4DCS.40HFC15CP104 4DCS.40HFC15CP105
30,gujiao,4DCS.40HFC16CT309,F磨出口风温,0.0000,120.0000,0.8097,0.0297,4DCS.40HFC16CT309
31,gujiao,inlet_air_volumeF,F磨入口风量,0.0000,120.0000,0.9283,0.0854,4DCS.40HFE36CF101F 4DCS.40HFE36CF102F
32,gujiao,4DCS.40HFC16AJ001AE,F磨煤机电流,0.0000,40.0000,0.5514,0.0674,4DCS.40HFC16AJ001AE
33,gujiao,4DCS.40HFE36CP101,F磨入口风压力,0.0000,12.0000,0.5807,0.0792,4DCS.40HFE36CP101
34,gujiao,inlet_air_tempF,F磨入口风温,0.0000,320.0000,0.8339,0.0643,4DCS.40HFE36CT301 4DCS.40HFE36CT302 4DCS.40HFE36CT303 4DCS.40HFE36CT309
35,gujiao,coal_separatorF,F磨分离器出口至前墙上层F燃烧,0.0000,5.0000,0.4954,0.0977,4DCS.40HFC16CP101 4DCS.40HFC16CP102 4DCS.40HFC16CP103 4DCS.40HFC16CP104 4DCS.40HFC16CP105
36,gujiao,cold_primary_airflow,冷一次风流量,0.0000,120.0000,0.5423,0.0993,4DCS.41HLA42CF101F 4DCS.41HLA42CF102F 4DCS.41HLA41CF101F 4DCS.41HLA41CF102F
37,gujiao,primary_fan_current,一次风机电流,60.0000,130.0000,0.5275,0.1421,4DCS.41HLB12AN001CE 4DCS.41HLB11AN001CE
38,gujiao,airpre_inlet_fir_pressure,空预器入口一次风压力,6.0000,14.0000,0.8540,0.0612,4DCS.41HLA22CP103 4DCS.41HLA21CP103
39,gujiao,airpre_inlet_fir_temp,空预器入口一次风温,0.0000,60.0000,0.5665,0.1363,4DCS.41HLA22CT309 4DCS.41HLA21CT309
40,gujiao,airpre_outlet_pressure,空预器出口风压,0.0000,1.4000,0.5665,0.1291,4DCS.42HLA42CP101 4DCS.42HLA42CP102 4DCS.42HLA41CP101 4DCS.42HLA41CP102
