name,min,max
4DCS.40LOAD,0.00,600.00
4DCS.40LBA20CP109,0.00,25.40
4DCS.40LAB11CT609,0.00,580.00
4DCS.40LAB12CT609,0.00,580.00
4DCS.40HAJ11CT609,0.00,580.00
4DCS.40HAJ12CT609,0.00,580.00
4DCS.40HBK70CP109,-700.00,700.00
4DCS.40LAB80CF109,0.00,2000.00
4DCS.40TOTAL_COAL_T_H,0.00,350.00
4DCS.C_FW,0.00,100.00
4DCS.40TOTAL_AIR_FLOW,0.00,2000.00
4DCS.40HNA12CQ101A0,0.00,26.00
4DCS.40HNA11CQ101A0,0.00,26.00
4DCS.GUOREDU,-100.00,60.00
N4TB.N4BC_EFF_BOILER,0.00,100.00
4DCS.40RTUDCSAI001,0.00,600.00
4DCS.40MSTEAM_FLOW,0.00,2000.00
4DCS.40LBB20CP101,0.00,4.60
4DCS.40LBB20CP102,0.00,4.60
4DCS.40LBB20CP103,0.00,4.60
4DCS.40CFB41GH001,0.00,10.00
4DCS.40CFB41GH002,0.00,10.00
4DCS.40LAB80CT301,0.00,320.00
4DCS.40TXDCSNOX01,0.00,1000.00
4DCS.40TXDCSNOX02,0.00,1000.00
2FGD.40HTA10CQ102,0.00,6000.00
4DCS.40NAA10CF101F,0.00,650.00
4DCS.40LCE10CF102F,0.00,15.00
4DCS.40HFB11AF001AI,0.00,100.00
4DCS.40HFC11AJ002AI,0.00,100.00
4DCS.40HFE21AA102AI,0.00,100.00
4DCS.40HFE21AA101AI,0.00,100.00
4DCS.40HFC11CT309,0.00,120.00
4DCS.40HFE31CF101F,0.00,120.00
4DCS.40HFE31CF102F,0.00,120.00
4DCS.40HFC11AJ001AE,0.00,52.00
4DCS.40HFE31CP101,0.00,12.00
4DCS.40HFE31CT301,0.00,320.00
4DCS.40HFE31CT302,0.00,320.00
4DCS.40HFE31CT303,0.00,320.00
4DCS.40HFE31CT309,0.00,320.00
4DCS.40HFC41CP101,0.00,5.00
4DCS.40HFC41CP102,0.00,5.00
4DCS.40HFC41CP103,0.00,5.00
4DCS.40HFC41CP104,0.00,5.00
4DCS.40HFC41CP105,0.00,5.00
4DCS.40HFC11AJ001_LP,0.00,1.00
4DCS.40HFB12AF001AI,0.00,100.00
4DCS.40HFC12AJ002AI,0.00,100.00
4DCS.40HFE22AA102AI,0.00,100.00
4DCS.40HFE22AA101AI,0.00,100.00
4DCS.40HFC12CT309,0.00,120.00
4DCS.40HFE32CF101F,0.00,120.00
4DCS.40HFE32CF102F,0.00,120.00
4DCS.40HFC12AJ001AE,0.00,52.00
4DCS.40HFC12AJ001AEAI,0.00,52.00
4DCS.40HFE32CP101,0.00,12.00
4DCS.40HFE32CT301,0.00,320.00
4DCS.40HFE32CT302,0.00,320.00
4DCS.40HFE32CT303,0.00,320.00
4DCS.40HFE32CT309,0.00,320.00
4DCS.40HFC12CP101,0.00,5.00
4DCS.40HFC12CP102,0.00,5.00
4DCS.40HFC12CP103,0.00,5.00
4DCS.40HFC12CP104,0.00,5.00
4DCS.40HFC12CP105,0.00,5.00
4DCS.40HFC12AJ001_LP,0.00,1.00
4DCS.40HFB13AF001AI,0.00,100.00
4DCS.40HFC13AJ002AI,0.00,100.00
4DCS.40HFE23AA102AI,0.00,100.00
4DCS.40HFE23AA101AI,0.00,100.00
4DCS.40HFC13CT309,0.00,120.00
4DCS.40HFE33CF101F,0.00,120.00
4DCS.40HFE33CF102F,0.00,120.00
4DCS.40HFC13AJ001AE,0.00,52.00
4DCS.40HFE33CP101,0.00,12.00
4DCS.40HFE33CT301,0.00,320.00
4DCS.40HFE33CT302,0.00,320.00
